num,payload_ent,tcp_ent,src_ip,src_mac,dst_ip,dst_mac,seq,ack,ip_len,func_code,ref_num,data_cnt,trans_id,mbtcp_len,sport,dport,payload_len,label
24081,149.0,147.0,212,70,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24082,150.0,147.0,212,70,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24083,143.0,144.0,0,240,212,70,0,0,0,0,0,0,0,0,28,3,40,0
24084,135.0,137.0,0,240,170,0,0,0,2,85,0,0,193,148,28,3,52,0
24085,152.0,152.0,0,240,127,215,0,0,0,0,0,0,0,0,28,3,40,0
24086,164.0,160.0,127,215,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24087,138.0,139.0,170,0,0,240,0,0,1,85,0,0,193,106,3,28,50,0
24088,162.0,159.0,127,215,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24089,152.0,151.0,0,240,127,215,0,0,0,0,0,0,0,0,28,3,40,0
24090,151.0,153.0,0,240,255,38,0,0,0,0,0,0,0,0,28,3,40,0
24091,151.0,153.0,255,38,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24092,149.0,151.0,255,38,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24093,149.0,150.0,0,240,170,0,0,0,0,0,0,0,0,0,28,3,40,0
24094,143.0,148.0,0,240,255,38,0,0,0,0,0,0,0,0,28,3,40,0
24095,157.0,154.0,170,0,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24096,158.0,155.0,170,0,0,240,0,0,0,0,0,0,0,0,3,28,40,0
24097,152.0,152.0,0,240,170,0,0,0,0,0,0,0,0,0,28,3,40,0
24098,139.0,142.0,42,255,170,0,7,5,2,212,199,102,199,148,15,3,52,3
24099,148.0,148.0,170,0,42,255,5,7,1,212,0,0,199,85,3,15,49,3
24100,140.0,142.0,42,255,170,0,7,5,2,212,199,102,199,148,15,3,52,3
24101,151.0,151.0,170,0,42,255,5,7,1,212,0,0,199,85,3,15,49,3
24102,143.0,145.0,42,255,170,0,7,5,2,212,199,102,199,148,15,3,52,3
24103,151.0,151.0,170,0,42,255,5,7,1,212,0,0,199,85,3,15,49,3
24104,145.0,146.0,42,255,170,0,7,5,2,212,199,102,199,148,15,3,52,3
24105,149.0,149.0,170,0,42,255,5,7,1,212,0,0,199,85,3,15,49,3
24106,147.0,149.0,42,255,170,0,7,5,2,212,199,102,199,148,15,3,52,3
24107,150.0,151.0,170,0,42,255,5,7,1,212,0,0,199,85,3,15,49,3
24108,145.0,147.0,42,255,170,0,7,5,2,212,199,102,199,148,15,3,52,3
24109,147.0,149.0,170,0,42,255,5,7,1,212,0,0,199,85,3,15,49,3
24110,147.0,148.0,42,255,170,0,7,5,2,212,199,102,199,148,15,3,52,3
24111,151.0,151.0,170,0,42,255,5,7,1,212,0,0,199,85,3,15,49,3
24112,142.0,144.0,42,255,170,0,7,5,2,212,199,102,200,148,15,3,52,3
24113,151.0,151.0,170,0,42,255,5,7,1,212,0,0,200,85,3,15,49,3
24114,143.0,145.0,42,255,170,0,7,5,2,212,199,102,200,148,15,3,52,3
24115,153.0,152.0,170,0,42,255,5,7,1,212,0,0,200,85,3,15,49,3
24116,150.0,150.0,42,255,170,0,7,5,2,212,199,102,200,148,15,3,52,3
24117,153.0,153.0,170,0,42,255,5,7,1,212,0,0,200,85,3,15,49,3
24118,145.0,147.0,42,255,170,0,7,5,2,212,199,102,200,148,15,3,52,3
24119,156.0,155.0,170,0,42,255,5,7,1,212,0,0,200,85,3,15,49,3
24120,147.0,149.0,42,255,170,0,7,5,2,212,199,102,200,148,15,3,52,3
24121,155.0,155.0,170,0,42,255,5,7,1,212,0,0,200,85,3,15,49,3
24122,149.0,150.0,42,255,170,0,7,5,2,212,199,102,200,148,15,3,52,3
24123,151.0,151.0,170,0,42,255,5,7,1,212,0,0,200,85,3,15,49,3
24124,145.0,147.0,42,255,170,0,7,5,2,212,200,102,200,148,15,3,52,3
24125,154.0,154.0,170,0,42,255,5,7,1,212,0,0,200,85,3,15,49,3
24126,149.0,150.0,42,255,170,0,7,5,2,212,200,102,200,148,15,3,52,3
24127,151.0,151.0,170,0,42,255,5,7,1,212,0,0,200,85,3,15,49,3
24128,148.0,148.0,42,255,170,0,7,5,2,212,200,102,200,148,15,3,52,3
24129,149.0,150.0,170,0,42,255,5,7,1,212,0,0,200,85,3,15,49,3
24130,148.0,148.0,42,255,170,0,7,5,2,212,200,102,200,148,15,3,52,3
24131,148.0,149.0,170,0,42,255,5,7,1,212,0,0,200,85,3,15,49,3
24132,147.0,148.0,42,255,170,0,7,5,2,212,200,102,200,148,15,3,52,3
24133,148.0,149.0,170,0,42,255,5,7,1,212,0,0,200,85,3,15,49,3
24134,153.0,154.0,42,255,170,0,7,5,2,212,200,102,200,148,15,3,52,3
24135,149.0,150.0,170,0,42,255,5,7,1,212,0,0,200,85,3,15,49,3
24136,147.0,148.0,42,255,170,0,7,5,2,212,200,102,200,148,15,3,52,3
24137,151.0,151.0,170,0,42,255,5,7,1,212,0,0,200,85,3,15,49,3
24138,149.0,150.0,42,255,170,0,7,5,2,212,200,102,201,148,15,3,52,3
24139,152.0,153.0,170,0,42,255,5,7,1,212,0,0,201,85,3,15,49,3
24140,147.0,149.0,42,255,170,0,7,5,2,212,200,102,201,148,15,3,52,3
24141,148.0,149.0,170,0,42,255,5,7,1,212,0,0,201,85,3,15,49,3
24142,140.0,142.0,42,255,170,0,7,5,2,212,200,102,201,148,15,3,52,3
24143,148.0,149.0,170,0,42,255,5,7,1,212,0,0,201,85,3,15,49,3
24144,144.0,146.0,42,255,170,0,7,5,2,212,200,102,201,148,15,3,52,3
24145,149.0,150.0,170,0,42,255,5,7,1,212,0,0,201,85,3,15,49,3
24146,144.0,146.0,42,255,170,0,7,5,2,212,200,102,201,148,15,3,52,3
24147,152.0,153.0,170,0,42,255,5,7,1,212,0,0,201,85,3,15,49,3
24148,144.0,145.0,42,255,170,0,7,5,2,212,200,102,201,148,15,3,52,3
24149,148.0,149.0,170,0,42,255,5,7,1,212,0,0,201,85,3,15,49,3
24150,140.0,142.0,42,255,170,0,7,5,2,212,201,102,201,148,15,3,52,3
24151,148.0,148.0,170,0,42,255,5,7,1,212,0,0,201,85,3,15,49,3
24152,140.0,142.0,42,255,170,0,7,5,2,212,201,102,201,148,15,3,52,3
24153,151.0,151.0,170,0,42,255,5,7,1,212,0,0,201,85,3,15,49,3
24154,144.0,146.0,42,255,170,0,7,5,2,212,201,102,201,148,15,3,52,3
24155,154.0,154.0,170,0,42,255,5,7,1,212,0,0,201,85,3,15,49,3
24156,138.0,140.0,42,255,170,0,7,5,2,212,201,102,201,148,15,3,52,3
24157,150.0,150.0,170,0,42,255,5,7,1,212,0,0,201,85,3,15,49,3
24158,139.0,142.0,42,255,170,0,7,5,2,212,201,102,201,148,15,3,52,3
24159,143.0,144.0,170,0,42,255,5,7,1,212,0,0,201,85,3,15,49,3
24160,139.0,142.0,42,255,170,0,7,5,2,212,201,102,201,148,15,3,52,3
24161,152.0,152.0,170,0,42,255,5,7,1,212,0,0,201,85,3,15,49,3
24162,141.0,143.0,42,255,170,0,7,5,2,212,201,102,201,148,15,3,52,3
24163,151.0,151.0,170,0,42,255,5,7,1,212,0,0,201,85,3,15,49,3
24164,146.0,147.0,42,255,170,0,7,5,2,212,201,102,202,148,15,3,52,3
24165,146.0,148.0,170,0,42,255,5,7,1,212,0,0,202,85,3,15,49,3
24166,143.0,144.0,42,255,170,0,7,5,2,212,201,102,202,148,15,3,52,3
24167,151.0,151.0,170,0,42,255,5,7,1,212,0,0,202,85,3,15,49,3
24168,141.0,144.0,42,255,170,0,7,5,2,212,201,102,202,148,15,3,52,3
24169,145.0,147.0,170,0,42,255,5,7,1,212,0,0,202,85,3,15,49,3
24170,149.0,151.0,42,255,170,0,7,5,2,212,201,102,202,148,15,3,52,3
24171,148.0,149.0,170,0,42,255,5,7,1,212,0,0,202,85,3,15,49,3
24172,148.0,149.0,42,255,170,0,7,5,2,212,201,102,202,148,15,3,52,3
24173,147.0,147.0,170,0,42,255,5,7,1,212,0,0,202,85,3,15,49,3
24174,149.0,150.0,42,255,170,0,7,5,2,212,201,102,202,148,15,3,52,3
24175,152.0,153.0,170,0,42,255,5,7,1,212,0,0,202,85,3,15,49,3
24176,144.0,146.0,42,255,170,0,7,5,2,212,202,102,202,148,15,3,52,3
24177,150.0,151.0,170,0,42,255,5,7,1,212,0,0,202,85,3,15,49,3
24178,146.0,147.0,42,255,170,0,7,5,2,212,202,102,202,148,15,3,52,3
24179,145.0,147.0,170,0,42,255,5,7,1,212,0,0,202,85,3,15,49,3
24180,145.0,146.0,42,255,170,0,7,5,2,212,202,102,202,148,15,3,52,3
24181,150.0,151.0,170,0,42,255,5,7,1,212,0,0,202,85,3,15,49,3
24182,144.0,144.0,42,255,170,0,7,5,2,212,202,102,202,148,15,3,52,3
24183,147.0,148.0,170,0,42,255,5,7,1,212,0,0,202,85,3,15,49,3
24184,138.0,140.0,42,255,170,0,7,5,2,212,202,102,202,148,15,3,52,3
24185,149.0,149.0,170,0,42,255,5,7,1,212,0,0,202,85,3,15,49,3
24186,145.0,147.0,42,255,170,0,7,5,2,212,202,102,202,148,15,3,52,3
24187,153.0,154.0,170,0,42,255,5,7,1,212,0,0,202,85,3,15,49,3
24188,143.0,145.0,42,255,170,0,7,5,2,212,202,102,202,148,15,3,52,3
24189,149.0,150.0,170,0,42,255,5,7,1,212,0,0,202,85,3,15,49,3
24190,145.0,147.0,42,255,170,0,7,5,2,212,202,102,203,148,15,3,52,3
24191,151.0,151.0,170,0,42,255,5,7,1,212,0,0,203,85,3,15,49,3
24192,142.0,144.0,42,255,170,0,7,5,2,212,202,102,203,148,15,3,52,3
24193,149.0,150.0,170,0,42,255,5,7,1,212,0,0,203,85,3,15,49,3
24194,140.0,143.0,42,255,170,0,7,5,2,212,202,102,203,148,15,3,52,3
24195,149.0,148.0,170,0,42,255,5,8,1,212,0,0,203,85,3,15,49,3
24196,148.0,149.0,42,255,170,0,8,6,2,212,202,102,203,148,15,3,52,3
24197,147.0,148.0,170,0,42,255,6,8,1,212,0,0,203,85,3,15,49,3
24198,145.0,147.0,42,255,170,0,8,6,2,212,202,102,203,148,15,3,52,3
24199,153.0,153.0,170,0,42,255,6,8,1,212,0,0,203,85,3,15,49,3
24200,150.0,151.0,42,255,170,0,8,6,2,212,202,102,203,148,15,3,52,3
24201,155.0,155.0,170,0,42,255,6,8,1,212,0,0,203,85,3,15,49,3
